,cores,l1d_size,l1d_assoc,l2_size,l2_assoc,sim_name,sim_ticks
457,2,32,4,1024,4,radix,74835704148
458,2,32,4,1024,4,raytrace,642446797
459,2,32,4,1024,8,cholesky,2.04737E+11
376,2,32,2,1024,32,fft,1112354093
461,2,32,4,1024,8,fmm,40761255000
462,2,32,4,1024,8,lu,1.04667E+11
463,2,32,4,1024,8,ocean,34782325074
464,2,32,4,1024,8,radix,74887147768
465,2,32,4,1024,8,raytrace,642446797
466,2,32,8,1024,16,cholesky,2.10544E+11
383,2,32,2,1024,4,fft,1112354093
468,2,32,8,1024,16,fmm,46377071806
469,2,32,8,1024,16,lu,1.05202E+11
470,2,32,8,1024,16,ocean,34924940258
471,2,32,8,1024,16,radix,74923323335
472,2,32,8,1024,16,raytrace,642240089
473,2,32,8,1024,2,cholesky,1.90138E+11
390,2,32,2,1024,8,fft,1112354093
475,2,32,8,1024,2,fmm,46468812177
476,2,32,8,1024,2,lu,1.04581E+11
477,2,32,8,1024,2,ocean,39300045104
478,2,32,8,1024,2,radix,74797246458
479,2,32,8,1024,2,raytrace,642240089
480,2,32,8,1024,32,cholesky,2.10548E+11
614,2,64,4,512,2,fft,1114176124
482,2,32,8,1024,32,fmm,46376608810
483,2,32,8,1024,32,lu,1.06168E+11
484,2,32,8,1024,32,ocean,34634447171
485,2,32,8,1024,32,radix,74951627328
486,2,32,8,1024,32,raytrace,642240089
487,2,32,8,1024,4,cholesky,1.96944E+11
649,2,64,8,512,2,fft,1114431175
489,2,32,8,1024,4,fmm,46383410850
490,2,32,8,1024,4,lu,1.04405E+11
491,2,32,8,1024,4,ocean,35175463686
492,2,32,8,1024,4,radix,74821996407
493,2,32,8,1024,4,raytrace,642240089
494,2,32,8,1024,8,cholesky,2.048E+11
544,2,64,2,512,2,fft,1114689560
496,2,32,8,1024,8,fmm,46380601436
497,2,32,8,1024,8,lu,1.04667E+11
498,2,32,8,1024,8,ocean,34779066089
499,2,32,8,1024,8,radix,74874055150
500,2,32,8,1024,8,raytrace,642240089
501,2,64,16,512,16,cholesky,2.21485E+11
1135,4,32,8,256,16,fft,1121147518
503,2,64,16,512,16,fmm,53887215288
504,2,64,16,512,16,lu,1.24028E+11
505,2,64,16,512,16,ocean,42803357293
506,2,64,16,512,16,radix,77464821533
507,2,64,16,512,16,raytrace,641805002
508,2,64,16,512,2,cholesky,2.19275E+11
1149,4,32,8,256,32,fft,1121147518
510,2,64,16,512,2,fmm,54377590010
511,2,64,16,512,2,lu,1.21223E+11
512,2,64,16,512,2,ocean,44742435031
513,2,64,16,512,2,radix,77095457675
514,2,64,16,512,2,raytrace,642018378
515,2,64,16,512,32,cholesky,2.21569E+11
1156,4,32,8,256,4,fft,1121147518
517,2,64,16,512,32,fmm,53863275501
518,2,64,16,512,32,lu,1.24149E+11
519,2,64,16,512,32,ocean,42760335357
520,2,64,16,512,32,radix,77500878743
521,2,64,16,512,32,raytrace,641805002
522,2,64,16,512,4,cholesky,2.1973E+11
1163,4,32,8,256,8,fft,1121147518
524,2,64,16,512,4,fmm,53921925562
525,2,64,16,512,4,lu,1.22987E+11
526,2,64,16,512,4,ocean,43572307719
527,2,64,16,512,4,radix,77379081055
528,2,64,16,512,4,raytrace,641805002
529,2,64,16,512,8,cholesky,2.2066E+11
1100,4,32,4,256,16,fft,1121250872
531,2,64,16,512,8,fmm,53914755795
532,2,64,16,512,8,lu,1.23727E+11
533,2,64,16,512,8,ocean,43011905661
534,2,64,16,512,8,radix,77422708112
535,2,64,16,512,8,raytrace,641805002
536,2,64,2,512,16,cholesky,2.21353E+11
1114,4,32,4,256,32,fft,1121250872
538,2,64,2,512,16,fmm,53936313439
539,2,64,2,512,16,lu,1.24117E+11
540,2,64,2,512,16,ocean,41920685794
541,2,64,2,512,16,radix,77484478797
542,2,64,2,512,16,raytrace,642101728
543,2,64,2,512,2,cholesky,2.19613E+11
1121,4,32,4,256,4,fft,1121250872
545,2,64,2,512,2,fmm,54406605812
546,2,64,2,512,2,lu,1.21373E+11
547,2,64,2,512,2,ocean,43819702188
548,2,64,2,512,2,radix,77159035388
549,2,64,2,512,2,raytrace,642315104
550,2,64,2,512,32,cholesky,2.21647E+11
1128,4,32,4,256,8,fft,1121250872
552,2,64,2,512,32,fmm,53906897557
553,2,64,2,512,32,lu,1.24261E+11
554,2,64,2,512,32,ocean,41852865566
555,2,64,2,512,32,radix,77514769854
556,2,64,2,512,32,raytrace,642101728
557,2,64,2,512,4,cholesky,2.19831E+11
995,4,32,16,256,16,fft,1121265875
559,2,64,2,512,4,fmm,53966154406
560,2,64,2,512,4,lu,1.23032E+11
561,2,64,2,512,4,ocean,42543286956
562,2,64,2,512,4,radix,77397656436
563,2,64,2,512,4,raytrace,642101728
564,2,64,2,512,8,cholesky,2.21202E+11
1009,4,32,16,256,32,fft,1121265875
566,2,64,2,512,8,fmm,53935231556
567,2,64,2,512,8,lu,1.23783E+11
568,2,64,2,512,8,ocean,42091835017
569,2,64,2,512,8,radix,77452957494
570,2,64,2,512,8,raytrace,642101728
571,2,64,32,512,16,cholesky,2.21429E+11
1016,4,32,16,256,4,fft,1121265875
573,2,64,32,512,16,fmm,53900632971
574,2,64,32,512,16,lu,1.24008E+11
575,2,64,32,512,16,ocean,42811382231
576,2,64,32,512,16,radix,77461809264
577,2,64,32,512,16,raytrace,641813337
578,2,64,32,512,2,cholesky,2.19331E+11
1023,4,32,16,256,8,fft,1121265875
580,2,64,32,512,2,fmm,54382010894
581,2,64,32,512,2,lu,1.21195E+11
582,2,64,32,512,2,ocean,44748496243
583,2,64,32,512,2,radix,77094500817
584,2,64,32,512,2,raytrace,642026713
585,2,64,32,512,32,cholesky,2.21617E+11
1065,4,32,32,256,16,fft,1121394234
587,2,64,32,512,32,fmm,53861995245
588,2,64,32,512,32,lu,1.24128E+11
589,2,64,32,512,32,ocean,42778782379
590,2,64,32,512,32,radix,77498861673
591,2,64,32,512,32,raytrace,641813337
592,2,64,32,512,4,cholesky,2.19745E+11
1079,4,32,32,256,32,fft,1121394234
594,2,64,32,512,4,fmm,53902351648
595,2,64,32,512,4,lu,1.22935E+11
596,2,64,32,512,4,ocean,43585487021
597,2,64,32,512,4,radix,77377995838
598,2,64,32,512,4,raytrace,641813337
599,2,64,32,512,8,cholesky,2.20664E+11
1086,4,32,32,256,4,fft,1121394234
601,2,64,32,512,8,fmm,53890730991
602,2,64,32,512,8,lu,1.23691E+11
603,2,64,32,512,8,ocean,43025018283
604,2,64,32,512,8,radix,77421514540
605,2,64,32,512,8,raytrace,641813337
606,2,64,4,512,16,cholesky,2.21223E+11
1093,4,32,32,256,8,fft,1121394234
608,2,64,4,512,16,fmm,53894373386
609,2,64,4,512,16,lu,1.24047E+11
610,2,64,4,512,16,ocean,42480907816
611,2,64,4,512,16,radix,77471142797
612,2,64,4,512,16,raytrace,641880017
613,2,64,4,512,2,cholesky,2.19453E+11
1142,4,32,8,256,2,fft,1121440910
615,2,64,4,512,2,fmm,54377716702
616,2,64,4,512,2,lu,1.21273E+11
617,2,64,4,512,2,ocean,44332071308
618,2,64,4,512,2,radix,77120672717
619,2,64,4,512,2,raytrace,641880017
620,2,64,4,512,32,cholesky,2.21724E+11
1002,4,32,16,256,2,fft,1121560934
622,2,64,4,512,32,fmm,53869830145
623,2,64,4,512,32,lu,1.24175E+11
624,2,64,4,512,32,ocean,42420715780
625,2,64,4,512,32,radix,77508181870
626,2,64,4,512,32,raytrace,641880017
627,2,64,4,512,4,cholesky,2.1981E+11
1107,4,32,4,256,2,fft,1121709297
629,2,64,4,512,4,fmm,53924507745
630,2,64,4,512,4,lu,1.23025E+11
631,2,64,4,512,4,ocean,43381619589
632,2,64,4,512,4,radix,77380421323
